,id,name,tag_1,tag_2,tag_3,all_tags,peak_year,listen_count
40,40,Pyotr Ilyich Tchaikovsky,classical,romantic,instrumental,"['christmasblend', 'romantic', 'classical', 'ballet', 'inspiration', 'tchaikovsky', 'thebestclassicaloperaandfilmscores', 'instrumental', 'top100', 'gossipgirl']",2008,5
41,41,Emperor,blackmetal,truenorwegianblackmetal,epic,"['blackmetal', 'avantgarde', 'epic', 'dark', 'awesome', 'great', 'norwegian', 'fuckingawesome', 'playthisloudenoughtoraisethedead', 'norwegianblackmetal', 'rawblackmetal', 'truenorwegianblackmetal', 'verykvlt', 'killerdrums', 'killerriffing', 'norway', 'metal', 'melodicblackmetal', 'masterpiece', 'favouritesongs', 'extremeblackmetal', 'sophisticatedblackmetalart', 'awesomesongs']",2008,6
42,42,Anorexia Nervosa,french,symphonicblackmetal,french,"['french', 'symphonicblackmetal']",2008,3
43,43,Reaper,industrial,darkelectro,ebm,"['industrial', 'electronic', 'electro', 'seenlive', 'electroindustrial', 'darkelectro', 'ebm']",2008,6
44,44,Gothminister,industrial,industrialmetal,gothicmetal,"['industrial', 'industrialmetal', 'gothicmetal', 'ebm', 'gothic']",2010,3
45,45,Duran Duran,80s,newwave,pop,"['newwave', '80s', 'synthpop', 'electronic', 'melancholic', 'british', 'beautiful', 'loveit', 'ballad', 'newromantic', 'love', 'perfect', 'hypnotic', 'thebest', 'nostalgia', 'favsongs', 'newwavesongs', 'favartists', '1982songs', 'britishartists', '1981songs', 'newwaveartists', '1983songs', 'newromanticsongs', 'bsides', 'thebeowulfschoice', 'scholessong', 'mypleasuredome', 'zadrotstvo', 'myfavfun', 'touchingsong', 'ogonj', 'absolutedisco', 'nejlepsi', 'poandoneovski', 'mychoice', 'guiltypleasures', 'hot', 'sexy', 'guiltypleasure', 'fuckingamazing', 'pop', 'rock', 'alternative', 'indie', 'uk', 'classicrock', '00s', '90s', 'britpop', 'cover', 'duranduran', 'dancepop', 'singersongwriter', '80spop', 'favoritetracks', 'duranmyfavefromweddingalbum', 'loveduranjt', 'madonna', '2008', 'nellyfurtado', '1981', 'rain', 'favourites', 'bestsongsever', 'tagyoursongsproperly', 'artists', 'tender', 'weirdness', 'seenlive', 'legend', 'electropop', 'oldschool', 'awesome', 'favorites', 'eighties', 'erotic', 'best', 'iwantbacktothe80s', 'duran', 'hit', '1990s', 'nineties', 'myfavorites', '1008', 'loveatfirstlisten', 'atmospheric', 'ethereal', 'dance', 'alternativerock', 'house', 'electronica', 'dramatic', 'remix', 'club', 'alltimefaves', 'energetic', 'bside', 'anthemic', 'stylish', 'majestic', 'jamesbond', 'amazingvocal', 'reasonstolove80s', 'chilled', 'dd', 'covers', 'drugs', 'sex', 'political', 'religion', 'numbers', 'scifi', 'bluesongs', 'ambient', 'experimental', 'dub', 'soundtrack', 'acoustic', 'instrumental', 'live', 'faves', 'demo', 'single', 'slowies', 'edit', 'songwithsamples', 'bond', 'favouritesongs', '80sstuff', 'danny', 'johnny', 'badday', 'lifeonmars', 'titans', 'bobbi', 'roy', 'clint', 'simon', 'babs', 'wally', 'runaways', 'rachel', 'government', 'caleb', 'tula', 'tony', 'jason', 'kon', 'amelia', 'tara', 'baddays', 'unsure', 'xmen', 'roxy', 'badgirls', 'namora', 'teddy', 'songstofeelhappyto', 'chillout', 'poprock', 'romantic', 'mellow', '1995', 'retro', 'mix', 'seeninconcert', 'indierock', 'grunge', 'postpunk', 'indiepop', 'acousticrock', 'u2', 'newromantics', 'lovedtracks', 'leftovergrooves', 'collectables', 'epic', 'newwaveandeighties']",2008,111
46,46,Morcheeba,triphop,chillout,downtempo,"['chillout', 'downtempo', 'electronic', 'triphop', 'femalevovalists', 'dance', 'femalevocalists', 'lounge', 'pop', 'easylistening', 'vocal', 'chill', 'relax', 'science', 'cities', 'transport', 'cars', 'hiphop', 'sexy', 'drugmusic', 'myfavsongs', 'seenlive', 'favoriteartist', 'alsolike', 'theend', 'btvs', 'soundtrack']",2008,23
47,47,Air,electronic,ambient,chillout,"['electronic', 'autumn', 'downtempo', 'triphop', 'instrumental', 'dark', 'hypnotic', 'meditative', 'experimental', 'sexy', 'mellow', 'musicformysoul', 'curiousabout', 'indie', 'seenlive', 'air', 'french', 'vocal', 'dream', 'chillout', 'alternative', 'electronica', 'love', 'ambient', 'lounge', 'loveit', 'aana', 'cool', 'gay', 'sweetelectronic', 'classicrock', 'eletronic', 'english', 'dub', 'soundtrack', 'demo', 'downbeat', 'favouritesongs', 'pastel', 'myelectrofeelings', 'justchillin', 'european', '80s', 'dance', 'jazz', 'indiepop', '90s', 'indietronica', 'favoriteartist', 'friends', 'alsolike', 'beautiful', 'amazing', 'brilliant', 'beautifulmusic', 'atmospheric', 'electro', 'piano', 'relaxing', 'dreamy', 'sad', 'relax', 'sweet', 'dreamlike', 'sexmusic', 'effy', 'veronicamars', 'dreampop', 'favourites', 'france']",2008,75
48,48,Hooverphonic,triphop,chillout,electronic,"['relax', 'electronic', 'femalevocalist', 'triphop', 'chillout', 'vocal', 'chill', 'downtempo', 'belgian', 'lounge', 'ethereal', 'femalevocalists', 'dreamy', 'aana', 'indie', 'dreampop', 'postmodern', 'cities', 'ambient', 'pop', 'alternative', '00s', '90s', 'seenlive', 'myelectrofeelings', 'rememberhim', 'mellow', 'remix', 'electronica', 'favorite', 'favoriteartist', 'alsolike', 'rock', 'sexy']",2007,18
49,49,Kylie Minogue,pop,dance,electronic,"['seenlive', 'electronic', 'pop', 'dance', 'popdance', 'femalevocalists', 'hot', 'guiltypleasures', 'electropop', 'disco', 'fierce', 'urbanpop', 'diva', '80s', 'femalevocalist', 'alternative', 'indie', 'trance', 'electronica', 'latin', 'electro', 'female', 'gay', 'gayicons', 'gayicon', 'europop', '90s', 'dancepop', 'queenofpop', 'topartists', 'australian', 'britpop', 'pwl', 'kylieminogue', 'kylie', 'bestofpop', 'newwave', 'synthpop', '80sawesome', 'ilove80s', 'backtothe80s', '80snewwave', 'english', 'ilovediscodiamonds', '80sdance', 'eighties', 'mellow', 'sexy', 'legend', 'girlpower', 'heart', 'myfavoritessingers', 'biggestvoices', 'theplacepromisedinourearlydays', 'alltimefavourites', 'love', 'loveatfirstlisten', 'catchy', 'sex', 'icon', 'nationaltreasure', 'thequeen', 'popheaven', 'luxo', 'hiphop', 'house', 'rnb', 'dark', 'awesome', 'great', 'soul', 'urban', 'sad', 'sensual', 'dirty', '3', 'favesongsever', 'glam', 'aphrodite', 'goddessofpop', 'makesmefeelsexy', 'iwanttobeindependentlisteningto', 'loveit', 'sexysongs', 'rock', 'indiepop', 'iwishicouldmakeavideoforthis', 'uglybetty', 'xenomania', 'popprincess', 'greatsongs', '1980s', 'popular', 'shoulhavemoreplays', 'remix', 'club', 'energetic', 'village', 'classic', 'thequeenofdancepop', 'beautiful', 'powerpop', 'favorites', 'amazingvocal', 'cool', 'divas', 'poplife', 'poppleasure', 'girlshit', 'femaleartists', 'australia', 'eletropop', 'dancequeen', 'instrumental', '1992', '1991', 'makesmesmile', 'emotionalpop', 'artmaker', 'horadesermae', 'dub', 'petshopboys', 'aussie', 'popsingles', 'chillout', 'romantic', 'techno', 'perfection', 'camp', 'flirty', 'british', 'europe', 'iamapartygirlhereismysoundtrack', '00s', 'summersong', 'goodoldtimes', 'lpa', 'greatmomentsatet7', 'bestsongsofthe80s', 'electroclash', 'deepclash', 'brokenclash', 'amazing', 'mylife', 'vocalistafeminimo', 'lovesong', 'happy', 'singalong', 'iwantthisplayedatmywedding', 'bestmusicever', 'party', '10s', '2010', '2009', '2007', '90sdance', 'leftovergrooves', 'emotional', 'makesmewannadance', 'weeklytoptracks', 'weeklytopartists', 'flop', 'beautifulsongs', 'bestdancesinger', 'neighbours', 'favoritesong', 'gluhie90e']",2010,298
50,50,Daft Punk,electronic,dance,electronica,"['electronic', 'dance', 'electronica', '80s', 'synthpop', 'electropop', '00s', 'awesome', 'electro', '90s', 'synth', '10s', 'house', 'french', 'alternative', 'party', 'thebeowulfschoice', 'scholessong', 'pokraftwerkski', 'beautiful', 'amazing', 'techno', 'remix', 'breathtaking', 'cool', 'mix', 'electropunk', 'eletronica', 'technorock', 'legend', 'funk', 'instrumental', 'popular', '2000s', '70s', 'pop', 'descoperiri', 'electroclash', 'live', 'beats', 'tronlegacyost', 'science', 'malevocalists', 'fun', 'top40', 'danceable', 'catchyashell', 'danceparty', 'soundtrack', 'chillout', 'disco', 'perfection', 'housesociety', 'drivingmusic', 'latenighttunes', 'makesmewanttodance', 'thebest', 'frenchelectronic', 'bass', 'aeroelectronicpunk', 'neonspace', 'myelectrofeelings', 'idolo', 'dancetrance', 'workoutmusic', 'technobrut', 'daftpunk', 'sick', 'loveitt', 'tune', 'atmospheric', 'experimental', 'classic', 'perfect', 'happy', 'electronichouse', 'tinosoft', 'frenchhouse', 'eletronic']",2008,151
51,51,Thievery Corporation,triphop,chillout,lounge,"['lounge', 'chill', 'favorites', 'downtempo', 'triphop', 'laidback', 'chillout', 'house', 'ambient', 'electronic', 'acidjazz', 'loveit', 'french', 'descoperiri', 'aana', 'special', 'gardenstatesoundtrack', 'justchillin', 'world']",2008,19
52,52,Goldfrapp,electronic,femalevocalists,triphop,"['electronic', 'dance', 'electronica', 'alternative', 'indie', 'chillout', 'ambient', 'downtempo', 'ethereal', 'experimental', 'femalevocalists', 'singersongwriter', 'british', '00s', 'relaxing', 'chill', 'dowloanrequired', 'triphop', 'folk', 'loveit', 'glam', 'sexysongs', 'synthpop', 'sexy', 'seenlive', 'femaleelectronic', 'vocal', 'electro', 'stylish', 'pop', 'cool', 'mellow', 'special', 'house', 'housemd', 'transport', 'femalevocalist', 'uk', 'electropop', 'female', 'electroclash', 'dub', 'instrumental', 'remix', 'muterecords', 'disco', '2008', 'myfavsongs', 'rafa', 'myelectrofeelings', 'qsexy', 'dancetrance', 'fun', 'favorites', 'favourite', 'beautifultrack', 'thevampirediaries', 'bestsongever', 'sex', 'friends', 'ibuysinglesforbsideslikethis', 'essentialinstrumentalversions', 'atmospheric', 'acoustic', 'lovely', 'brilliant', '2010', 'genius', 'dreamy', 'sad', 'glamrock', 'launge', 'lighttriphop']",2008,82
53,53,New Order,newwave,80s,electronic,"['newwave', '80s', 'technopop', 'electronic', 'dance', '80sawesome', '80snewwave', 'english', 'favsongs', 'newwavesongs', 'favartists', 'synthpopsongs', 'britishartists', 'newwaveartists', '1983songs', 'songstolistentoonasunnyday', 'thebeowulfschoice', 'scholessong', 'thepedofindergeneral', 'ogonj', 'poandoneovski', 'postpunk', 'indiepop', 'rock', 'synthpop', 'collegerock', 'alternativedance', 'alternative', 'indie', 'british', 'favourites', 'artists', 'ultimatefavorite', 'soundtrack', 'dancey', 'poppy', 'spacey', 'techno', 'alternativerock', 'neworder', 'myfavorites', 'melodramaticsynths', 'remix', 'beats', 'electronica', 'death', 'crime', 'colors', 'numbers', 'days', 'favorites', 'melancholy', 'indierock', 'uk', 'gothic', 'punk', 'thecure', 'cold', 'berepshowsthelove', 'dub', 'instrumental', '90s', 'manchester', 'single', 'bside', 'edit', 'unknown', 'beach', 'factoryrecords', 'melancholicsynthpop', 'pop', 'retro', 'favoritesongs', 'seenlive', '80salternative', 'experimental', '00s', 'malevocalists', 'bestsongever', 'singersongwriter', 'grunge', 'britpop', 'acousticrock', 'u2', 'songsisingintheshower', 'ichliebedich', 'dancedancedance', 'party', 'drummachine', 'yay', 'favoritebands', 'newwaveandeighties']",2007,107
54,54,Matt Bianco,animals,animals,animals,['animals'],2007,2
55,55,Talk Talk,80s,newwave,synthpop,"['favsongs', 'newwavesongs', 'favartists', '1982songs', 'britishartists', 'newwaveartists', '1983songs', '1984songs', 'bsides', 'pureauralsex', 'songstolistentoonasunnyday', 'synthpop', 'newromantic', '80s', 'artrock', 'water', 'cold', 'fog', 'flood', 'plasma', 'washingoverme', 'mountaintopssnowmeltingthawingfireicevolcanosnatureearth', 'myfavorites', 'newwave', 'british', 'dance', 'girlsnames', 'days', 'questions', 'dub', 'pop', 'favouritesongs', 'electronic', 'retro', 'favoritesongs', 'f', 'psychosis', 'postrock', 'favoritebands', 'newwaveandeighties']",2007,25
56,56,Prefab Sprout,80s,britishartists,newwaveartists,"['britishartists', 'newwaveartists', '1985songs', '80s', 'synthpop', 'collegerock', 'blueeyedsoul', 'newwave', 'pop', 'alternative', 'britpop']",2008,3
57,57,Enigma,newage,ambient,chillout,"['chillout', 'ambient', 'newage', 'gregorianchant', 'electronic', 'hypnotic', 'relaxing', 'nostalgia', 'dreamy', 'meditative', 'relax', 'sex', 'enigmatic', 'alternative', 'singersongwriter', 'favorite', 'vocal', 'dream', 'instrumental', 'bluedeep', 'epic', 'coisadedeus', 'postmodern', '1991', 'relaxingmusic', 'electronica', '90s', 'lyricalbrilliance', 'sexy', 'electro', 'enigma', 'macumbamusic', 'deutschland']",2009,41
58,58,R̦yksopp,electronic,chillout,electronica,"['chillout', 'electronic', 'dance', 'norwegian', 'downtempo', 'triphop', 'ambient', 'electro', 'indie', 'favoritesongs', 'femalevocalists', 'electronica', 'energetic', 'madabout', 'soundtrackofmylife', 'easylistening', 'mellow', 'chill', 'relax', 'dream', 'sexysongs', 'addictive', 'sweet', 'happyhappyjoyjoy', 'lounge', 'cool', 'aana', 'famouspersons', 'perfection', 'crap', 'witchclash', 'brilliant', 'loveatfirstlisten', 'dreamy', '00s', 'norway', 'synthpop', 'sexy', 'dreampop', 'makesmewannadance', 'experimental', 'melancholy', 'epic', 'favourites', 'norge']",2008,71
59,59,Coldplay,alternative,alternativerock,rock,"['lastfmelitistrepellent', 'ballad', 'pissbass', 'alternativerock', 'rock', 'indierock', 'indiepop', 'seenlive', 'melancholic', 'alternative', 'british', 'beautiful', 'loveit', '90s', 'love', 'perfect', 'pianorock', 'thepedofindergeneral', 'rain', 'samey', 'britpop', 'overrated', 'marisamix', 'indie', 'singersongwriter', 'newwave', 'pop', 'experimental', 'uk', 'classicrock', '00s', 'mellow', 'coldplay', 'chillout', 'acoustic', 'amazing', 'malevocalists', 'piano', 'loveatfirstlisten', 'sad', 'gold', 'britsong', 'awesome', 'poprock', 'progressiverock', 'songsiveobsessedover', 'metal', 'cool', 'postbritpop', 'onetreehill', 'ouifm', 'loveyalll', '4m4zinq', 'cover', 'ilove', 'special', 'religion', 'cities', 'time', 'rockalternative', 'rockindie', 'sexy', 'chill', 'lpa', 'tbu', 'viajedeegresados', 'caaamiiiliiitaaa', 'songsdianasangonxfactor', 'gardenstatesoundtrack', 'sixfeetundersoundtrack', 'ohmygod', 'goodstuff', 'beatiful', 'songstofeelhappyto', 'romantic', 'softrock', 'muzykadlamietkichchlopcow', 'singalong', 'inlove', 'justchillin', 'britrock', 'musikfuerrundumdieuhr', 'european', 'listenedmorethan10timesinarow', 'hangon', 'whitenoize', 'lovely', 'cute', 'freedownload', 'free', 'freemp3', 'ohmydamn', 'jukeboxproject', 'favorites', 'favourites', 'brilliant', '2008', 'genius', 'favourite', 'favouriteartists', 'greatsong', 'favoriteartist', 'favoriteartists', 'bestsongsever', 'favoritesongs', 'favoritealbums', 'favouritesongs', 'favoritebands', 'beautifulmusic', '2005', '2002', 'unitedkingdom', 'demo', 'brianeno', 'kraftwerk', 'bside', 'tearjearker', 'johnnycash', 'galactic', 'lights', 'naked', 'question', 'eternallove', 'ambient', 'electronic', 'atmospheric', 'epic', 'folk', 'fun', 'oldies', 'happy', 'fuckingawesome', 'relaxing', 'dreamy', 'relax', 'sweet', 'songsiabsolutelylove', 'myownprivatesunshine', 'weeklytoptracks', 'tinosoft', 'benlee', 'xmas', 'wistful', 'fail', 'favoritebandsandartists', 'favoritesong', 'songsinevergetsickof', 'isa', 'vacation']",2010,369
60,60,Faithless,electronic,triphop,dance,"['electronic', 'triphop', 'dance', 'house', 'alternative', 'chill', 'electronica', 'seenlive', '90s', '2000s', 'trance', 'progressivehouse', 'ambient', 'pop', 'electro', 'gadi1', 'drugsong', 'dancetrance', 'chillout', 'femalevocalists']",2008,19
