,tagID,tagValue
496,496,live
497,497,classic synthpop
498,498,80s pop
499,499,i love 90s
500,500,10s
501,501,love
502,502,dance-pop
503,503,80s new wave
504,504,english
505,505,romantic
506,506,nostalgic
507,507,depeche mode
508,508,best of 80s
509,509,i love disco diamonds
510,510,80s dance
511,511,hungarian
512,512,eighties
513,513,romance
514,514,italo disco
515,515,remix album
516,516,nordic
517,517,great
518,518,genious
519,519,piano
520,520,classic
521,521,folk rock
522,522,contemporany
523,523,chile
524,524,guitar hero
525,525,too slow amarok
526,526,renaissance
527,527,impressionist
528,528,baroque
529,529,minimalista
530,530,neofolk
531,531,japan 80s
532,532,strings - organs  rubber wind
533,533,djent
534,534,japanese
535,535,avant-garde metal
536,536,stoner rock
537,537,composers
538,538,classical
539,539,jazz fusion
540,540,fusion
541,541,c
542,542,hardrock
543,543,black music 4 black ppl listened 2 by white hipsters
544,544,lastfm hipster artists
545,545,weeabo
546,546,wigger
547,547,lastfm elitist repellent
548,548,industrial pop
549,549,musique concrete
550,550,easy listening
551,551,masturbation
552,552,pretentious crap
553,553,best albums
554,554,ep
555,555,futuremelon
556,556,terrorbanana
557,557,psytrance
558,558,dark electro
559,559,goffpop
560,560,rave
561,561,goa
562,562,germany
563,563,techno
564,564,dark techno
565,565,helltrance
566,566,vampirepop
567,567,dark ambient
568,568,darkwave
569,569,alpha quadrant
570,570,industrial techno
571,571,ambient industrial
572,572,intelligent electro
573,573,industrial dance
574,574,boring
575,575,goff
576,576,pissbass
577,577,new kid on the block
578,578,darktechno
579,579,science fiction
580,580,darktrance
581,581,psychedelic trance
582,582,star trek
583,583,electrowave
584,584,borg
585,585,techtrance
586,586,dark electronic
587,587,old shit
588,588,war
589,589,tech-trance
590,590,combichrist
591,591,portion control
592,592,cyber
593,593,futurepop
594,594,swedish
595,595,futurepop anthem
596,596,hardstyle
597,597,norwegian
598,598,gabber
599,599,multiple artists
600,600,dutch
601,601,italian
602,602,hard trance
603,603,childhood
604,604,canadian
605,605,deathrock
606,606,powernoise
607,607,belgian
608,608,power metal
609,609,technical thrash metal
610,610,speed metal
611,611,on frozen fields
612,612,groove metal
613,613,war metal
614,614,battle metal
615,615,best of the best
616,616,depression
617,617,electro house
618,618,soul
619,619,drum and bass
620,620,podcast
621,621,wtf
622,622,disappointment
623,623,timbaland killed my carrer
624,624,minimalist
625,625,rihanna
626,626,miley cyrus
627,627,americans
628,628,shakira
629,629,britney spears
630,630,tecno
631,631,r&b
632,632,queen
633,633,urban
634,634,top 40
635,635,guilty pleasure
636,636,teen
637,637,tech
638,638,era
639,639,ass
640,640,00
641,641,thalia
642,642,sex symbol
643,643,jlo
644,644,pop teen
645,645,rap reggae
646,646,camp rock
647,647,ashley tisdale
648,648,selena gomez in the scene
649,649,jeffree star
650,650,katy perry
651,651,lady gaga
652,652,mi delirio
653,653,woman
654,654,ballads
655,655,perfect
656,656,riri
657,657,christina aguilera
658,658,xtina
659,659,not myself tonight
660,660,bionic
661,661,copa
662,662,xtina love
663,663,girl power
664,664,why on earth is this just a bonus track
665,665,raining men
666,666,supersonic
667,667,rated r
668,668,te amo
669,669,sweet dreams
670,670,3oh3
671,671,bestrihanna
672,672,gggb
673,673,favoritesong
674,674,good girl gone bad
675,675,tip pon toe
676,676,country pop
677,677,punk pop
678,678,nickelodeon
679,679,idol
680,680,abba
681,681,rainha do pop
682,682,madonna
683,683,swedish pop
684,684,favorite by this group
685,685,melhor cantora europeia de todos os tempos
686,686,mpb
687,687,ana carolina
688,688,oldies
689,689,1970s
690,690,best of all
691,691,love song
692,692,trilha sonora
693,693,60's
694,694,beyonce
695,695,smooth
696,696,fucking sexy
697,697,ackles
698,698,f-u-c-k me
699,699,2008
700,700,brasileira
701,701,get stupid
702,702,1982
703,703,the best of madonna
704,704,1978
705,705,gospel
706,706,best song ever
707,707,sweden
708,708,roxette
709,709,joyride
710,710,scandinavian
711,711,christmas songs
712,712,gossip girl
713,713,salsa
714,714,trumpet
715,715,colombia
716,716,reggaeton
717,717,happy
718,718,vivaldi
719,719,salsa romantica
720,720,vocal
721,721,rock en espanol
722,722,concerto
723,723,love at first listen
724,724,barroco
725,725,antonio vivaldi
726,726,barroco favorito
727,727,latino
728,728,70s
729,729,dance rock
730,730,great lyrics
731,731,nu-metal
732,732,swedish metal
733,733,brutal deathgrind
734,734,grindcore
735,735,brutal death metal
736,736,technical death metal
737,737,death metalcore
738,738,brutal deathcore
739,739,progressivo
740,740,christian metalcore
741,741,jpdm
742,742,deathgrind
743,743,post hardcore
744,744,russian death metal
745,745,bree bree
746,746,goregrind
747,747,vocalist
748,748,bay area
749,749,southern rap
750,750,indie folk
751,751,instrumental hip-hop
752,752,acoustic music
753,753,rock in rool
754,754,pop metal
755,755,not emo
756,756,andy six
757,757,post-hadcore
758,758,lady gaga play day
759,759,holiday soundtrack
760,760,unreleased
761,761,stand out be proud
762,762,demi lovato
763,763,my childhood
764,764,underrated
765,765,one of her best songs
766,766,her best
767,767,amazing voice
768,768,elvis presley
769,769,gross meaning but good song
770,770,why on earth wasnt this released
771,771,party time
772,772,vanessa hudgens
773,773,legends
774,774,2010
775,775,one of my favorites
776,776,hilarious
777,777,american idol
778,778,never gets old
779,779,celebrities who one day im determined to meet
780,780,nick
781,781,wishlist
782,782,2010s
783,783,soundrack of my life
784,784,taylor swift
785,785,1980s
786,786,fucking awesome
787,787,play this loud enough to raise the dead
788,788,haunting
789,789,music for tossing furniture around
790,790,masterpiece
791,791,unforgettable
792,792,genius
793,793,cello metal
794,794,hypnotic
795,795,take your shirt off and dance to it
796,796,apocalyptic
797,797,so sad yet so beautiful
798,798,i think trent reznor is superior to god
799,799,soundtrack of my dreams
800,800,helplessly singing along
801,801,beautifully depressing
802,802,great cover
803,803,attitude
804,804,peaceful
805,805,great b-side
806,806,songs you must hear before you die
807,807,perfection
808,808,my face is completely rocked off
809,809,fucking beautiful
810,810,mega awesome sweet fuckin hyperpowerful riff
811,811,greatest rock anthems
812,812,my music pillow
813,813,chen-
814,814,post rock
815,815,basque
816,816,brasil
817,817,mellow
818,818,relaxing
819,819,chill
820,820,medieval
821,821,finnish
822,822,blues
823,823,guitar
824,824,the best
825,825,music to cry
826,826,energy
827,827,ukrainian
828,828,nostalgia
829,829,dreamy
830,830,sad and slow
831,831,amazing vocal
832,832,sad
833,833,perfect lyrics
834,834,absolutely genius
835,835,piano rock
836,836,rock ballad
837,837,sensual
838,838,meditative
839,839,placebo
840,840,female vocal
841,841,hair metal
842,842,riot grrrl
843,843,cover
844,844,rock catala
845,845,christian metal
846,846,celtic
847,847,spiritual
848,848,new rave
849,849,mixmaster supreme
850,850,disco classic
851,851,smooth groove
852,852,damn boy
853,853,glorious gospel
854,854,deep house mixes
855,855,90s jam
856,856,forgotten 80s jam
857,857,loleeta
858,858,memphis soul
859,859,miss grace jones
860,860,grace
861,861,loleatta
862,862,drum 'n' bass
863,863,dnb
864,864,hot enough to sweat out your press n curl
865,865,quiet storm
866,866,70s jazz
867,867,luther vandross
868,868,beautifully sad love song
869,869,beautifully sad song
870,870,vocal classic
871,871,david at his finest
872,872,oh so beautiful
873,873,fonky fresh jam
874,874,undulating
875,875,slinky
876,876,philly soul
877,877,still a jam
878,878,fav songs
879,879,albums i have on mp3
880,880,new wave songs
881,881,new wave albums
882,882,fav artists
883,883,albums i have on vinyl
884,884,synthpop songs
885,885,1982 songs
886,886,fav albums
887,887,synthpop albums
888,888,british artists
889,889,1981 songs
890,890,new wave artists
891,891,albums i have on cd
892,892,1983 songs
893,893,new romantic songs
894,894,1984 songs
895,895,1979 songs
896,896,1984 albums
897,897,debut albums
898,898,1983 albums
899,899,3 star albums
900,900,synthpop artists
901,901,1980 songs
902,902,1982 albums
903,903,4 star albums
904,904,electronic albums
905,905,1981 albums
906,906,1980 albums
907,907,1986 albums
908,908,1985 albums
909,909,1985 songs
910,910,electronic songs
911,911,american artists
912,912,b-sides
913,913,alternative albums
914,914,1979 albums
915,915,instrumentals
916,916,1986 songs
917,917,1987 albums
918,918,2 star albums
919,919,1988 albums
920,920,5 star albums
921,921,post-punk songs
922,922,new romantic albums
923,923,disappointing albums
924,924,rock albums
925,925,1978 albums
926,926,pure aural sex
927,927,songs to listen to on a sunny day
928,928,lo-fi
929,929,mariah carey
930,930,leona lewis
931,931,run the world
932,932,weirdo music
933,933,clocks
934,934,arjen anthony lucassen
935,935,space metal
936,936,metroid
937,937,game
938,938,my other car is a cdr
939,939,lisp
940,940,pirate metal
941,941,alliterative
942,942,duke nukem
943,943,epic song
944,944,sicp
945,945,neo-classical metal
946,946,june
947,947,best albums of 2010
948,948,favourite
949,949,the beowulfs choice
950,950,scholes song
951,951,the pedofinder general
952,952,po-kraftwerkski
953,953,my pleasuredome
954,954,zadrotstvo
955,955,my fav fun
956,956,touching song
957,957,ogonj
958,958,absolute disco
959,959,oni pout
960,960,ohm sweet ohm
961,961,nejlepsi
962,962,po-andoneovski
963,963,hellish song
964,964,polotenchik poet
965,965,my choice
966,966,my fav voice
967,967,tango
968,968,my calm
969,969,true synthpop
970,970,classical crossover
971,971,opera
972,972,andrew lloyd webber
973,973,tenor
974,974,mezzo-soprano
975,975,pop opera
976,976,soprano
977,977,baritone
978,978,popera
979,979,alessandro safina
980,980,caruso
981,981,the phantom of the opera
982,982,duet
983,983,turandot
984,984,musical
985,985,adagio
986,986,phantom of the opera
987,987,foll
988,988,mepoupe
989,989,korean
990,990,pure love
991,991,somebody told me
992,992,alternatif
993,993,anglais
994,994,darkstep
995,995,darkside
996,996,hardstep
997,997,belarus
998,998,death-metal
999,999,mathcore
1000,1000,g-funk
1001,1001,bandana music
1002,1002,westcoast
1003,1003,g-funk francais
1004,1004,bay rap
1005,1005,chicano rap
1006,1006,laglak
1007,1007,gangsta rnb
1008,1008,pimp rap
1009,1009,jazz rock
1010,1010,math rock
1011,1011,jazzcore
1012,1012,jazz core
1013,1013,indie jazz dance math rock
1014,1014,aysel gurel
1015,1015,onno tunc
1016,1016,1992
1017,1017,1988
1018,1018,1990
1019,1019,1994
1020,1020,sezen aksu
1021,1021,1987
1022,1022,1993
1023,1023,1986
1024,1024,1984
1025,1025,1991
1026,1026,garo mafyan
1027,1027,atilla ozdemiroglu
1028,1028,1989
1029,1029,perdesiz gitar
1030,1030,banu kirbag
1031,1031,1999
1032,1032,1997
1033,1033,1996
1034,1034,2005
1035,1035,1985
1036,1036,arabesk
1037,1037,1995
1038,1038,1983
1039,1039,1998
1040,1040,erkan ogur
1041,1041,1981
1042,1042,gundogarken
1043,1043,bir yaz daha bitiyor
1044,1044,istanbul
1045,1045,baha boduroglu
1046,1046,turk sanat muzigi
1047,1047,mozaik
1048,1048,cook alametler belirdi
1049,1049,nur yoldas
1050,1050,parios
1051,1051,flamenco jazz
1052,1052,modern klasik
1053,1053,ezginin gunlugu
1054,1054,yildirim turker
1055,1055,oludeniz
1056,1056,tanju duru
1057,1057,selmi andak
1058,1058,sn
1059,1059,1979
1060,1060,vedat sakman
1061,1061,arto tuncboyaciyan
1062,1062,kivanc k
1063,1063,1980
1064,1064,rock 'n' roll
1065,1065,backstage rock shop artist
1066,1066,loistavuus
1067,1067,rhythm and blues
1068,1068,scandinavian action rock
1069,1069,rock n roll
1070,1070,rock'n roll
1071,1071,seattle sound
1072,1072,trancecore
1073,1073,mexico
1074,1074,favourite albums
1075,1075,gader
1076,1076,dirty south
1077,1077,2006
1078,1078,2002
1079,1079,female voices
1080,1080,justin timberlake
1081,1081,jessica simpson
1082,1082,songwriter
1083,1083,2000
1084,1084,inspirational
1085,1085,jacksons
1086,1086,fmera album
1087,1087,best song in the world
1088,1088,lofi
1089,1089,chill zone
1090,1090,covers
1091,1091,miserable
1092,1092,christmas blend
1093,1093,rain
1094,1094,morning
1095,1095,duets
1096,1096,industri
1097,1097,steve albini
1098,1098,steve abini
1099,1099,no wave
1100,1100,avant garde
1101,1101,marathon
1102,1102,beer
1103,1103,touhou
1104,1104,hai
1105,1105,susu
1106,1106,utage
1107,1107,peppy
1108,1108,video
1109,1109,nico
1110,1110,iosys
1111,1111,osu
1112,1112,ievan polka
1113,1113,ryusueigun
1114,1114,can
1115,1115,you
1116,1116,just
1117,1117,gaga
1118,1118,parody
1119,1119,power
1120,1120,polka
1121,1121,spice girls
1122,1122,backstreet
1123,1123,hair
1124,1124,afro
1125,1125,parappa
1126,1126,cut
1127,1127,trim
1128,1128,flave
1129,1129,bass
1130,1130,hoppar
1131,1131,mafia
1132,1132,superhit
1133,1133,masz do cholery
1134,1134,musicals
1135,1135,ross
1136,1136,damon albarn
1137,1137,drone doom
1138,1138,alternativemetal
1139,1139,hott
1140,1140,sufoco
1141,1141,80's music
1142,1142,big fun
1143,1143,big hair
1144,1144,supercool
1145,1145,deep
1146,1146,classic pop
1147,1147,heavy funk
1148,1148,tecno comedy
1149,1149,80z pop
1150,1150,tragically-80s
1151,1151,popdance
1152,1152,hillarious
1153,1153,hot track
1154,1154,funny scottish bastard
1155,1155,sexy song
1156,1156,positive
1157,1157,beautiful sounds
1158,1158,dance funk
1159,1159,gorgeous boys
1160,1160,gorgeous soul
1161,1161,dancerock
1162,1162,mosh song
1163,1163,hot voice
1164,1164,fun-dance-song
1165,1165,great love song
1166,1166,popfun
1167,1167,australian rock
1168,1168,genius at work - brilliant song
1169,1169,aussie pop dance band
1170,1170,80z rock
1171,1171,eerily beautiful
1172,1172,poprock
1173,1173,hotttttttt
1174,1174,brilliant live rock band
1175,1175,aweosme rock
1176,1176,british tosser
1177,1177,ahhhhhhhhh
1178,1178,australian pop rock at its best
1179,1179,timeless rock
1180,1180,eargasm x 100000
1181,1181,lush
1182,1182,wow
1183,1183,exclamation mark
1184,1184,dreampop
1185,1185,cheese on toast
1186,1186,samey
1187,1187,just a little bit sexy
1188,1188,wooooooaaaaahh
1189,1189,jewish folk alternative rap
1190,1190,hilary duff
1191,1191,featuring
1192,1192,slash
1193,1193,fergie
1194,1194,8-bit
1195,1195,overrated
1196,1196,southern rock
1197,1197,synth indie rock
1198,1198,favourite artists
1199,1199,simple but awesome
1200,1200,i love this fucking song
1201,1201,so catchy i might explode
1202,1202,depeche mode covers
1203,1203,if it were a cake i could eat it
1204,1204,best of 2008
1205,1205,jrock
1206,1206,j-metal
1207,1207,japanese hip-hop
1208,1208,hardcore punk
1209,1209,marisa mix
1210,1210,ben folds
1211,1211,tom waits
1212,1212,1973
1213,1213,4/4
1214,1214,guitar solo
1215,1215,brawler
1216,1216,bluesy
1217,1217,loneliness
1218,1218,green day
1219,1219,the weakerthans
1220,1220,the roots
1221,1221,regina spektor
1222,1222,1970
1223,1223,2009
1224,1224,2007
1225,1225,horns
1226,1226,2004
1227,1227,iron & wine
1228,1228,cake
1229,1229,randy newman
1230,1230,growing up
1231,1231,alternative music
1232,1232,alternatif muzik
1233,1233,rock gaucho
1234,1234,rio grande do sul
1235,1235,powerpop
1236,1236,rock porto alegre
1237,1237,italian pop
1238,1238,christian
1239,1239,road  movie
1240,1240,disney on ice
1241,1241,hal
1242,1242,instructive
1243,1243,audio book
1244,1244,propaganda
1245,1245,core
1246,1246,school
1247,1247,etheral
1248,1248,chipgaze
1249,1249,experimental metal
1250,1250,breakcore
1251,1251,speedcore
1252,1252,chiptune
1253,1253,raggacore
1254,1254,jungle
1255,1255,8bit
1256,1256,terror
1257,1257,8 bit
1258,1258,latvian
1259,1259,breakbeat
1260,1260,hardcore techno
1261,1261,south park
1262,1262,cartman
1263,1263,dominican republic
1264,1264,crossover
1265,1265,old school death metal
1266,1266,ambient black metal
1267,1267,funeral doom metal
1268,1268,funeral doom
1269,1269,death/black metal
1270,1270,sleaze rock
1271,1271,glam-sleaze rock
1272,1272,glam metal
1273,1273,rock 80s
1274,1274,street punk
1275,1275,chaos punk
1276,1276,sleaze
1277,1277,performer
1278,1278,best seller
1279,1279,entertainer
1280,1280,pop icon
1281,1281,pop queen
1282,1282,superstar
1283,1283,grammy winner
1284,1284,recordwoman
1285,1285,very very guilty pleasure
1286,1286,britney fan
1287,1287,heartbreaker
1288,1288,composer
1289,1289,mtv
1290,1290,unreal
1291,1291,ost
1292,1292,record
1293,1293,bleach
1294,1294,star
1295,1295,tears
1296,1296,big bang
1297,1297,living legend
1298,1298,unusual you like
1299,1299,blackout
1300,1300,truth
1301,1301,bleachaddict
1302,1302,jpop
1303,1303,emotion
1304,1304,transcendant
1305,1305,pop princess
1306,1306,amazing fans
1307,1307,best song
1308,1308,post-metal
1309,1309,grime
1310,1310,artcore
1311,1311,jumpstyle
1312,1312,unique song
1313,1313,war is like music
1314,1314,dub dos brother
1315,1315,fucking awensome
1316,1316,pink floyd
1317,1317,guns n roses
1318,1318,fucking cool
1319,1319,american blues artist group
1320,1320,ameribluesscene
1321,1321,blueartistgroup
1322,1322,american blues scene
1323,1323,guitar karlsruhe
1324,1324,allboutguitar
1325,1325,seattle
1326,1326,blues music
1327,1327,red shoe diaries
1328,1328,brent david fraser
1329,1329,fame la
1330,1330,harmonica blues
1331,1331,dudley taft
1332,1332,german blues lovers
1333,1333,excellence
1334,1334,great song
1335,1335,great intro here nice chill beat with uptempo feel as well
1336,1336,one of the illest groups dah shinin is a must get top 3 album ever
1337,1337,vocal trance
1338,1338,love songs
1339,1339,scottish
1340,1340,soft rock
1341,1341,christmas
1342,1342,50s
1343,1343,eurodance
1344,1344,post-grunge
1345,1345,modern metal
1346,1346,german metal
1347,1347,industrial death metal
1348,1348,stoner metal
1349,1349,sludge metal
1350,1350,bulgarian
1351,1351,female fronted metal
1352,1352,freestyle
1353,1353,shred
1354,1354,funny
1355,1355,radio show
1356,1356,advice
1357,1357,talk show
1358,1358,folk metal
1359,1359,viking metal
1360,1360,wolf metal
1361,1361,carrie underwood
1362,1362,my fav girls
1363,1363,country divas
1364,1364,best of 2009
1365,1365,the best of pop
1366,1366,female country
1367,1367,carrie underwood favourite
1368,1368,soundtrack of my life
1369,1369,sex pop
1370,1370,adam lambert
1371,1371,lil wayne
1372,1372,country favorites
1373,1373,country rock
1374,1374,my favorite artists
1375,1375,female singers
1376,1376,best albums of 2009
1377,1377,country albums to check out
1378,1378,eminem
1379,1379,linda perry
1380,1380,im ok
1381,1381,kelly clarkson
1382,1382,already gone
1383,1383,pop rock nacional
1384,1384,philadelphia
1385,1385,country dobro americana dylan humor parody satire funny zappa
1386,1386,fiscal crisis
1387,1387,relevant now
1388,1388,acme of western civilization
1389,1389,fingerpicking
1390,1390,tromboners
1391,1391,godlike
1392,1392,eceletic
1393,1393,philadelphia philly funny quirky
1394,1394,phildelphia
1395,1395,ents
1396,1396,west philly
1397,1397,fugs
1398,1398,upper darby
1399,1399,trees
1400,1400,talking heads
1401,1401,weed
1402,1402,devo
1403,1403,phish
1404,1404,marijuana
1405,1405,zappa
1406,1406,philly
1407,1407,420
1408,1408,trippy
1409,1409,humor
1410,1410,drugs
1411,1411,prog
1412,1412,quirky
1413,1413,aufdiefresse
